user_id,corporation,usage_count,total_wins,total_position_sum,win_rate,avg_position,user_name,cn_name,cn_name_plot
11e3740ec2de,Helion (breakthrough),2,0,4,0.0,2.0,a00sd52,Helion (breakthrough),Helion (breakthrough)
13f9446ad048,Aridor,2,0,4,0.0,2.0,6mmmm,Aridor,Aridor
13f9446ad048,EcoTec,2,1,3,50.0,1.5,6mmmm,EcoTec,EcoTec
13f9446ad048,Imperial Star Destroyer,2,2,2,100.0,1.0,6mmmm,帝国歼星舰,帝国歼星舰
13f9446ad048,Interplanetary Cinematics (breakthrough),4,2,6,50.0,1.5,6mmmm,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
13f9446ad048,Philares,2,1,3,50.0,1.5,6mmmm,,
13f9446ad048,Pobolog (breakthrough),3,3,3,100.0,1.0,6mmmm,Pobolog (breakthrough),Pobolog (breakthrough)
13f9446ad048,Poseidon,2,2,2,100.0,1.0,6mmmm,Poseidon,Poseidon
13f9446ad048,Robinson Industries (breakthrough),2,0,4,0.0,2.0,6mmmm,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
13f9446ad048,Splice (breakthrough),4,1,7,25.0,1.75,6mmmm,Splice (breakthrough),Splice (breakthrough)
13f9446ad048,United Nations Mission One,2,0,4,0.0,2.0,6mmmm,United Nations Mission One,United Nations Mission One
13f9446ad048,Valley Trust (breakthrough),7,5,9,71.43,1.286,6mmmm,Valley Trust (breakthrough),Valley Trust (breakthrough)
13f9446ad048,🌸Ark Nova🌸,2,2,2,100.0,1.0,6mmmm,🌸方舟动物园🌸,方舟动物园
13f9446ad048,🌸Buy N Large🌸,3,3,3,100.0,1.0,6mmmm,🌸大巨购🌸,大巨购
13f9446ad048,🌸Green Ring🌸,3,2,4,66.67,1.333,6mmmm,🌸绿环🌸,绿环
13f9446ad048,🌸Integrated Microorganisms🌸,5,3,7,60.0,1.4,6mmmm,🌸微生物星尘🌸,微生物星尘
13f9446ad048,🌸Mining Corp🌸,2,1,3,50.0,1.5,6mmmm,🌸钢铁精炼🌸,钢铁精炼
13f9446ad048,🌸MirrorCoat🌸,3,2,4,66.67,1.333,6mmmm,🌸镜反🌸,镜反
13f9446ad048,🌸Shinra Tech🌸,2,2,2,100.0,1.0,6mmmm,🌸樱花电🌸,樱花电
13f9446ad048,🌸Tyrell🌸,3,1,5,33.33,1.667,6mmmm,🌸泰瑞尔公司🌸,泰瑞尔公司
13f9446ad048,🌸Weyland Yutani🌸,4,2,6,50.0,1.5,6mmmm,🌸韦兰德-尤坦尼集团🌸,韦兰德-尤坦尼集团
147b5481b058,Vitor,2,2,2,100.0,1.0,罗成,Vitor,Vitor
14e754e53d46,Spire,2,2,2,100.0,1.0,南宫澪,Spire,Spire
1635a02b921f,Factorum (breakthrough),2,1,3,50.0,1.5,sailij,Factorum (breakthrough),Factorum (breakthrough)
1635a02b921f,Interplanetary Cinematics (breakthrough),2,2,2,100.0,1.0,sailij,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
1635a02b921f,Manutech,3,2,4,66.67,1.333,sailij,Manutech,Manutech
1635a02b921f,Millennium Falcon,2,2,2,100.0,1.0,sailij,千年隼,千年隼
1635a02b921f,Trade Navigator,2,2,2,100.0,1.0,sailij,贸易领航者,贸易领航者
1635a02b921f,Valley Trust (breakthrough),2,1,3,50.0,1.5,sailij,Valley Trust (breakthrough),Valley Trust (breakthrough)
1635a02b921f,🌸MirrorCoat🌸,2,1,3,50.0,1.5,sailij,🌸镜反🌸,镜反
1635a02b921f,🌸Weyland Yutani🌸,2,2,2,100.0,1.0,sailij,🌸韦兰德-尤坦尼集团🌸,韦兰德-尤坦尼集团
1c86df029d8e,Spire,2,2,2,100.0,1.0,藏锋,Spire,Spire
1e6dac6d16e2,Arklight (breakthrough),2,1,3,50.0,1.5,yuan,Arklight (breakthrough),Arklight (breakthrough)
2450c74ea170,Ambient,2,0,4,0.0,2.0,晓黑,,
2450c74ea170,Aridor,3,1,5,33.33,1.667,晓黑,Aridor,Aridor
