combination,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name_plot
Robinson Industries (breakthrough) + Viron (breakthrough),16,8,1.625,107.8125,26.0,16,1.9615384615384615,50.0,Robinson Industries (breakthrough) + Viron (breakthrough)
Valley Trust (breakthrough) + Vitor,47,22,1.851063829787234,94.59574468085107,87.0,47,1.9649122807017543,46.81,Valley Trust (breakthrough) + Vitor
MorningStar Inc (breakthrough) + Viron (breakthrough),20,14,1.7,116.25,34.0,20,1.9666666666666666,70.0,MorningStar Inc (breakthrough) + Viron (breakthrough)
Celestic (breakthrough) + MorningStar Inc (breakthrough),83,34,1.9036144578313252,106.21686746987952,158.0,83,1.967741935483871,40.96,Celestic (breakthrough) + MorningStar Inc (breakthrough)
Bio-Sol + 🌸Integrated Microorganisms🌸,23,13,1.7391304347826086,105.04347826086956,40.0,23,1.9696969696969697,56.52, + 🌸微生物星尘🌸
🌸Mining Corp🌸 + 🌸SolarPlant🌸,25,13,1.76,85.72,44.0,25,1.9714285714285715,52.0,🌸钢铁精炼🌸 + 🌸太阳能公司🌸
Polaris + 🌸Green Leaf Dance🌸,32,15,1.8125,83.0,58.0,32,1.9761904761904763,46.88,北极星 + 🌸绿叶舞动🌸
🌸Green Leaf Dance🌸 + 🌸RDA🌸,35,17,1.8285714285714285,90.91428571428571,64.0,35,1.9777777777777779,48.57,🌸绿叶舞动🌸 + 🌸RDA🌸
Pobolog (breakthrough) + Ringcom,73,29,1.917808219178082,93.57534246575342,140.0,73,1.9879518072289157,39.73,Pobolog (breakthrough) + Ringcom
Ringcom + United Nations Mission One,5,5,1.0,127.0,5.0,5,2.0,100.0,Ringcom + United Nations Mission One
Arcadian Communities (breakthrough) + 🌸Prowler🌸,12,7,1.5833333333333333,80.83333333333333,19.0,12,2.0,58.33,Arcadian Communities (breakthrough) + 🌸徘徊者🌸
Interplanetary Cinematics (breakthrough) + 🌸Energy Saving Ecology🌸,11,8,1.5454545454545454,84.18181818181819,17.0,11,2.0,72.73,Interplanetary Cinematics (breakthrough) + 🌸节能生态🌸
Poseidon + 🌸Energy Saving Ecology🌸,8,5,1.375,90.625,11.0,8,2.0,62.5,Poseidon + 🌸节能生态🌸
Aphrodite (breakthrough) + Valley Trust (breakthrough),7,5,1.2857142857142858,96.42857142857143,9.0,7,2.0,71.43,Aphrodite (breakthrough) + Valley Trust (breakthrough)
Pobolog (breakthrough) + 🌸Green Ring🌸,11,8,1.5454545454545454,97.18181818181819,17.0,11,2.0,72.73,Pobolog (breakthrough) + 🌸绿环🌸
MorningStar Inc (breakthrough) + 🌸StarlinkDrifter🌸,16,10,1.6875,97.1875,27.0,16,2.0,62.5,MorningStar Inc (breakthrough) + 🌸星链漂流者🌸
Teractor (breakthrough) + Tharsis_republic (breakthrough),9,5,1.4444444444444444,101.55555555555556,13.0,9,2.0,55.56,Teractor (breakthrough) + Tharsis_republic (breakthrough)
Ecoline (breakthrough) + 🌸Prowler🌸,74,27,1.9324324324324325,86.86486486486487,143.0,74,2.0,36.49,Ecoline (breakthrough) + 🌸徘徊者🌸
PolderTECH Dutch + United Nations Mission One,17,8,1.7058823529411764,43.76470588235294,29.0,17,2.0,47.06,荷兰圩田科技 + United Nations Mission One
MorningStar Inc (breakthrough) + Splice (breakthrough),19,9,1.736842105263158,108.78947368421052,33.0,19,2.0,47.37,MorningStar Inc (breakthrough) + Splice (breakthrough)
Aphrodite (breakthrough) + Philares,7,6,1.2857142857142858,108.85714285714286,9.0,7,2.0,85.71,Aphrodite (breakthrough) + 
Interplanetary Cinematics (breakthrough) + Luna Chain,10,6,1.5,117.8,15.0,10,2.0,60.0,Interplanetary Cinematics (breakthrough) + 连月
Helion (breakthrough) + UNMI (breakthrough),14,7,1.6428571428571428,97.35714285714286,23.0,14,2.0,50.0,Helion (breakthrough) + UNMI (breakthrough)
MorningStar Inc (breakthrough) + Pobolog (breakthrough),19,10,1.736842105263158,103.73684210526316,33.0,19,2.0,52.63,MorningStar Inc (breakthrough) + Pobolog (breakthrough)
🌸Mining Corp🌸 + 🌸Protogen🌸,6,5,1.1666666666666667,109.0,7.0,6,2.0,83.33,🌸钢铁精炼🌸 + 🌸微生物热舞🌸
Ecoline (breakthrough) + Soylent Seedling Systems,12,6,1.5833333333333333,87.0,19.0,12,2.0,50.0,Ecoline (breakthrough) + 索伦特幼苗系统
Id Front + MorningStar Inc (breakthrough),7,5,1.2857142857142858,112.57142857142857,9.0,7,2.0,71.43,前线基地 + MorningStar Inc (breakthrough)
🌸Shinra Tech🌸 + 🌸SolarPlant🌸,80,31,1.95,85.2625,156.0,80,2.011111111111111,38.75,🌸樱花电🌸 + 🌸太阳能公司🌸
🌸Energy Saving Ecology🌸 + 🌸SolarPlant🌸,27,12,1.8518518518518519,88.77777777777777,50.0,27,2.027027027027027,44.44,🌸节能生态🌸 + 🌸太阳能公司🌸
MorningStar Inc (breakthrough) + Valley Trust (breakthrough),19,10,1.7894736842105263,121.21052631578948,34.0,19,2.0344827586206895,52.63,MorningStar Inc (breakthrough) + Valley Trust (breakthrough)
MorningStar Inc (breakthrough) + Spire,16,9,1.75,92.4375,28.0,16,2.0384615384615383,56.25,MorningStar Inc (breakthrough) + Spire
Ecoline (breakthrough) + Lakefront Resorts,15,8,1.7333333333333334,89.46666666666667,26.0,15,2.04,53.33,Ecoline (breakthrough) + 湖畔度假区
Inventrix (breakthrough) + Pobolog (breakthrough),14,6,1.7142857142857142,115.35714285714286,24.0,14,2.0416666666666665,42.86,Inventrix (breakthrough) + Pobolog (breakthrough)
Spire + 🌸Ark Nova🌸,13,8,1.6923076923076923,159.53846153846155,22.0,13,2.0434782608695654,61.54,Spire + 🌸方舟动物园🌸
Interplanetary Cinematics (breakthrough) + 🌸Scolex Industries🌸,12,6,1.6666666666666667,102.33333333333333,20.0,12,2.0454545454545454,50.0,Interplanetary Cinematics (breakthrough) + 🌸星核工业🌸
Septem Tribus + Viron (breakthrough),55,25,1.9636363636363636,90.14545454545454,108.0,55,2.046153846153846,45.45,Septem Tribus + Viron (breakthrough)
Arcadian Communities (breakthrough) + 🌸Green Leaf Dance🌸,11,5,1.6363636363636365,80.27272727272727,18.0,11,2.0476190476190474,45.45,Arcadian Communities (breakthrough) + 🌸绿叶舞动🌸
Aphrodite (breakthrough) + 🌸Prowler🌸,10,5,1.6,93.1,16.0,10,2.05,50.0,Aphrodite (breakthrough) + 🌸徘徊者🌸
Vitor + 🌸Integrated Microorganisms🌸,30,12,1.9,99.8,57.0,30,2.05,40.0,Vitor + 🌸微生物星尘🌸
Eglogue + Polaris,10,5,1.6,71.1,16.0,10,2.05,50.0,Eglogue + 北极星
Aristarchus + Point Luna,10,6,1.6,104.8,16.0,10,2.05,60.0,Aristarchus + Point Luna
Polaris + 🌸SolarPlant🌸,10,6,1.6,75.2,16.0,10,2.05,60.0,北极星 + 🌸太阳能公司🌸
CrediCor + 🌸Tyrell🌸,9,5,1.5555555555555556,92.11111111111111,14.0,9,2.0526315789473686,55.56,CrediCor + 🌸泰瑞尔公司🌸
Inventrix (breakthrough) + Pharmacy Union,8,6,1.5,121.125,12.0,8,2.0555555555555554,75.0,Inventrix (breakthrough) + 制药联盟
UNMI (breakthrough) + Valley Trust (breakthrough),8,5,1.5,100.0,12.0,8,2.0555555555555554,62.5,UNMI (breakthrough) + Valley Trust (breakthrough)
Ambient + Celestic (breakthrough),60,26,1.9833333333333334,84.76666666666667,119.0,60,2.057142857142857,43.33, + Celestic (breakthrough)
Hecate Speditions + MorningStar Inc (breakthrough),7,5,1.4285714285714286,110.42857142857143,10.0,7,2.0588235294117645,71.43,赫卡忒探险队 + MorningStar Inc (breakthrough)
Trade Navigator + Valley Trust (breakthrough),7,4,1.4285714285714286,169.57142857142858,10.0,7,2.0588235294117645,57.14,贸易领航者 + Valley Trust (breakthrough)
🌸Prowler🌸 + 🌸Weyland Yutani🌸,7,4,1.4285714285714286,101.14285714285714,10.0,7,2.0588235294117645,57.14,🌸徘徊者🌸 + 🌸韦兰德-尤坦尼集团🌸
