user_id,total_games,total_wins,total_position_sum,total_score_sum,total_generations_sum,total_tr_sum,total_cards_played_sum,tr_games,cards_games,avg_position,avg_score,avg_generations,avg_tr,avg_cards_played,min_score,max_score,min_position,win_rate,user_name
uf961293866b6,107,32,247,8165,590,3380.0,3693.0,106,106,2.308,76.31,5.51,31.89,34.84,25,214,1,29.91,miio
69215eb418a5,104,58,173,10109,570,4049.0,4896.0,104,104,1.663,97.2,5.48,38.93,47.08,35,226,1,55.77,钝钝
2f05a8da42fe,100,33,217,7916,542,3608.0,3511.0,100,100,2.17,79.16,5.42,36.08,35.11,35,180,1,33.0,吴用之人
ueb815ce9a6ad,99,36,204,8849,674,3662.0,3839.0,99,99,2.061,89.38,6.81,36.99,38.78,37,168,1,36.36,洛潇
193d7a57381c,96,23,234,7943,667,3560.0,2990.0,96,96,2.438,82.74,6.95,37.08,31.15,48,124,1,23.96,martin
u3bfdcf10cad2,95,72,123,8947,535,3377.0,3882.0,94,94,1.295,94.18,5.63,35.93,41.3,57,180,1,75.79,零食愿仔
7e81b837a36a,94,31,205,8755,546,3261.0,4474.0,93,93,2.181,93.14,5.81,35.06,48.11,46,477,1,32.98,水鬼
u44b723381098,93,41,183,7441,492,3346.0,2919.0,93,93,1.968,80.01,5.29,35.98,31.39,33,139,1,44.09,挂b
e17d328f5ee8,92,23,237,7536,663,3321.0,3188.0,92,92,2.576,81.91,7.21,36.1,34.65,46,141,1,25.0,pocky
19ed288a5ec9,88,21,223,6550,497,2861.0,2912.0,88,88,2.534,74.43,5.65,32.51,33.09,41,169,1,23.86,bsylh
63a95e5e4dc8,86,45,154,7011,553,3603.0,2053.0,86,86,1.791,81.52,6.43,41.9,23.87,55,128,1,52.33,12345
c4f6ba391723,84,25,195,6860,504,3056.0,2665.0,84,84,2.321,81.67,6.0,36.38,31.73,39,122,1,29.76,liyo
ua87dd5f8c30b,83,15,213,6320,467,2804.0,2695.0,83,83,2.566,76.14,5.63,33.78,32.47,30,154,1,18.07,抽牌=抽自己
ufd7a15e5da07,82,14,220,5804,469,2458.0,2587.0,82,82,2.683,70.78,5.72,29.98,31.55,29,132,1,17.07,桌游米
f5e2425a1867,82,28,165,7203,460,2864.0,3052.0,82,82,2.012,87.84,5.61,34.93,37.22,52,160,1,34.15,yangswag
u5ce03a8de52b,81,10,242,5742,473,2636.0,2066.0,80,80,2.988,70.89,5.84,32.95,25.82,16,126,1,12.35,半月2
ue077a7fa5418,79,25,175,6067,465,2687.0,2478.0,77,77,2.215,76.8,5.89,34.9,32.18,44,125,1,31.65,hms
u2c5db661b926,79,5,232,5307,447,2360.0,2154.0,79,79,2.937,67.18,5.66,29.87,27.27,20,106,1,6.33,st izem
39b331a5bc50,74,18,193,5748,440,2745.0,2245.0,70,70,2.608,77.68,5.95,39.21,32.07,34,125,1,24.32,wanxiangchengguan
u1f37182275f2,74,24,166,6287,424,2605.0,2975.0,73,73,2.243,84.96,5.73,35.68,40.75,26,161,1,32.43,浮生若梦
u2a62d82656de,72,19,190,5409,436,2259.0,2335.0,69,69,2.639,75.12,6.06,32.74,33.84,25,148,1,26.39,远野汉娜
1f71e23ff3c4,68,14,183,5028,369,2407.0,2401.0,68,68,2.691,73.94,5.43,35.4,35.31,31,127,1,20.59,xiyue
uf102aef4e1d1,68,25,145,5639,372,2382.0,2668.0,67,67,2.132,82.93,5.47,35.55,39.82,41,141,1,36.76,陌世之影
u172251990b7b,66,14,166,5215,374,2213.0,2131.0,66,66,2.515,79.02,5.67,33.53,32.29,47,133,1,21.21,tl
uf976ea1779a2,65,23,133,5451,371,2192.0,2335.0,64,64,2.046,83.86,5.71,34.25,36.48,44,142,1,35.38,战术炸车
u3d5f69b51720,65,10,186,4904,368,2200.0,2182.0,65,65,2.862,75.45,5.66,33.85,33.57,37,157,1,15.38,beichen
c92ad55e0060,63,16,171,4714,360,1914.0,2251.0,63,63,2.714,74.83,5.71,30.38,35.73,34,130,1,25.4,lha123com
u297294d6dd6d,62,10,170,4460,343,1887.0,1871.0,62,62,2.742,71.94,5.53,30.44,30.18,36,139,1,16.13,lolierl
uc8e33ecacc04,62,23,128,5008,453,2039.0,2102.0,61,61,2.065,80.77,7.31,33.43,34.46,54,123,1,37.1,jjc
cec0e3f37580,62,13,154,4945,395,2265.0,1948.0,60,60,2.484,79.76,6.37,37.75,32.47,15,129,1,20.97,hikaru
u69d351959f11,61,14,165,4629,344,1992.0,2327.0,61,61,2.705,75.89,5.64,32.66,38.15,34,139,1,22.95,雨哉南兮
u539c55af1de8,61,11,150,4966,358,1952.0,2305.0,61,61,2.459,81.41,5.87,32.0,37.79,40,128,1,18.03,lidai
ub03e91fb5b9d,60,12,153,4704,335,1946.0,2172.0,60,60,2.55,78.4,5.58,32.43,36.2,41,154,1,20.0,千、
udd38bde01054,60,13,157,4642,332,1954.0,2011.0,60,60,2.617,77.37,5.53,32.57,33.52,34,141,1,21.67,bolas
24c089f92bbe,60,22,125,4939,504,2185.0,1765.0,60,60,2.083,82.32,8.4,36.42,29.42,47,124,1,36.67,老王
f7b771d6fdff,59,6,197,3556,342,1507.0,1854.0,59,59,3.339,60.27,5.8,25.54,31.42,21,109,1,10.17,index
uf7bfe6478f64,58,13,149,4305,320,1997.0,1799.0,58,58,2.569,74.22,5.52,34.43,31.02,41,141,1,22.41,久别辞
ua6967fc12f43,57,27,103,5291,338,2104.0,2308.0,57,57,1.807,92.82,5.93,36.91,40.49,58,138,1,47.37,tree
ucd8425d50b0e,56,25,105,4900,363,2214.0,1837.0,56,56,1.875,87.5,6.48,39.54,32.8,42,151,1,44.64,meow328
ua42acdf95885,56,23,121,4188,315,1787.0,1958.0,55,55,2.161,74.79,5.62,32.49,35.6,32,140,1,41.07,流星小傻瓜
fbbba39a4cb4,53,7,168,3497,305,1670.0,1243.0,49,49,3.17,65.98,5.75,34.08,25.37,33,108,1,13.21,twotwo
ca4b469227f9,52,5,156,3760,295,1654.0,1921.0,52,52,3.0,72.31,5.67,31.81,36.94,43,111,1,9.62,荒野侦探2666
udc0d9a6493ff,52,11,137,3933,294,1848.0,1693.0,52,52,2.635,75.63,5.65,35.54,32.56,41,182,1,21.15,x118
u866dbae0b617,51,15,122,4078,286,1752.0,1647.0,51,51,2.392,79.96,5.61,34.35,32.29,41,138,1,29.41,一桜折纸
ucce63866a6d0,51,9,147,3719,335,1855.0,1573.0,51,51,2.882,72.92,6.57,36.37,30.84,43,128,1,17.65,thlee0203
d785f217ef6a,51,12,116,4576,294,1783.0,2196.0,51,51,2.275,89.73,5.76,34.96,43.06,45,139,1,23.53,小音
ufd7b5b5d57ab,50,4,150,3505,331,1650.0,1246.0,50,50,3.0,70.1,6.62,33.0,24.92,44,115,1,8.0,zhu791229
u6dd1ec8b8653,49,9,144,3739,289,1526.0,1847.0,49,49,2.939,76.31,5.9,31.14,37.69,43,178,1,18.37,飞飞飞
ua30a21f96400,49,17,110,3850,275,1457.0,1556.0,40,40,2.245,78.57,5.61,36.42,38.9,22,139,1,34.69,雩喵喵
u63b186e8c471,48,15,116,4246,284,1501.0,2186.0,46,46,2.417,88.46,5.92,32.63,47.52,34,234,1,31.25,木更小姐可爱捏
uab33c1444ad1,47,8,139,3245,288,1382.0,1410.0,45,45,2.957,69.04,6.13,30.71,31.33,31,138,1,17.02,leyline
ue8dc5edc68d1,47,9,133,3490,390,1498.0,1484.0,47,47,2.83,74.26,8.3,31.87,31.57,38,113,1,19.15,sa
u4ed4c52c2a9d,46,13,94,3644,244,1670.0,1384.0,46,46,2.043,79.22,5.3,36.3,30.09,50,190,1,28.26,μ!
f158b51e12e8,46,14,98,4174,334,1738.0,1736.0,46,46,2.13,90.74,7.26,37.78,37.74,57,133,1,30.43,唯一真理
u5a6edd042503,46,12,107,3541,289,1384.0,1490.0,46,46,2.326,76.98,6.28,30.09,32.39,36,124,1,26.09,青眼白菜
ubc4840d67121,44,2,123,3247,243,1473.0,1432.0,44,44,2.795,73.8,5.52,33.48,32.55,42,129,1,4.55,rα—1n
u2c7c2c3f4ec5,43,8,112,3270,363,1432.0,1274.0,43,43,2.605,76.05,8.44,33.3,29.63,50,104,1,18.6,90
657101df5f14,43,4,143,3103,258,1327.0,1526.0,43,43,3.326,72.16,6.0,30.86,35.49,32,124,1,9.3,听风聆雨
addb298f4557,42,10,94,3526,252,1569.0,1479.0,42,42,2.238,83.95,6.0,37.36,35.21,44,163,1,23.81,风风
13f9446ad048,42,23,72,3734,225,1688.0,1448.0,42,42,1.714,88.9,5.36,40.19,34.48,50,203,1,54.76,6mmmm
u97d6f70b34d9,41,16,84,3599,232,1367.0,1812.0,41,41,2.049,87.78,5.66,33.34,44.2,42,148,1,39.02,小花火
u63db1cfe7de4,41,11,95,3466,238,1419.0,1551.0,41,41,2.317,84.54,5.8,34.61,37.83,47,139,1,26.83,海带tt
u334660cb6866,41,10,113,3148,250,1250.0,1531.0,41,41,2.756,76.78,6.1,30.49,37.34,40,157,1,24.39,肉了个包
uf307806d95e1,41,12,98,3134,302,1210.0,1429.0,41,41,2.39,76.44,7.37,29.51,34.85,50,120,1,29.27,禁忌
u3cf5ad36f700,41,6,112,2974,246,1307.0,1316.0,41,41,2.732,72.54,6.0,31.88,32.1,37,107,1,14.63,xiang.fan
772804213466,41,20,77,3517,247,1526.0,1520.0,41,41,1.878,85.78,6.02,37.22,37.07,47,143,1,48.78,useful
3bdf301973af,40,14,84,3135,241,1365.0,1258.0,40,40,2.1,78.38,6.02,34.12,31.45,53,104,1,35.0,海贼王
