card_name,play_count,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
An Offer You Can't Refuse,95,35,2.1578947368421053,85.21052631578948,205.0,95,2.1904761904761907,36.84,一个无法拒绝的条件,一个无法拒绝的条件
Restricted Area,142,53,2.1690140845070425,88.67605633802818,308.0,142,2.1907894736842106,37.32,管制区,管制区
Diaspora Movement,1105,393,2.1882352941176473,89.89954751131222,2418.0,1105,2.1910313901345293,35.57,大流散运动,大流散运动
Atmoscoop,1420,492,2.1894366197183097,89.30492957746479,3109.0,1420,2.1916083916083915,34.65,大气束缚场,大气束缚场
Cultivation of Venus,936,314,2.1891025641025643,90.75854700854701,2049.0,936,2.192389006342495,33.55,金星育种,金星育种
Red City,555,200,2.1873873873873872,88.36396396396397,1214.0,555,2.192920353982301,36.04,红城,红城
Public Spaceline,1158,419,2.1934369602763386,90.38169257340242,2540.0,1158,2.1960616438356166,36.18,公共太空航线,公共太空航线
Deimos Down:ares,1163,406,2.1943250214961307,83.98194325021497,2552.0,1163,2.1969309462915603,34.91,Deimos Down:ares,Deimos Down:ares
Trees,804,281,2.1940298507462686,89.1268656716418,1764.0,804,2.197788697788698,34.95,树,树
Ocean Farm,993,354,2.1953675730110773,87.59718026183283,2180.0,993,2.1984047856430706,35.65,海洋农场,海洋农场
Earth Catapult,1621,600,2.1967921036397287,89.76064157927206,3561.0,1621,2.198651134273452,37.01,地球发射站,地球发射站
AntiGravity Experiment,1248,446,2.1963141025641026,92.49599358974359,2741.0,1248,2.1987281399046106,35.74,反重力先行试验,反重力先行试验
Ishtar Expedition,1691,600,2.1981076286221173,89.13187463039621,3717.0,1691,2.1998824221046442,35.48,伊什塔尔远征,伊什塔尔远征
Cave City,10,4,1.9,93.8,19.0,10,2.2,40.0,洞穴城市,洞穴城市
Envoys From Venus,1025,366,2.1970731707317075,88.63121951219512,2252.0,1025,2.2,35.71,金星来使,金星来使
Nuclear Zone,134,50,2.1791044776119404,85.50746268656717,292.0,134,2.201388888888889,37.31,核爆辐射区,核爆辐射区
Large Convoy,1432,471,2.2004189944134076,90.64874301675978,3151.0,1432,2.20249653259362,32.89,大型护航队,大型护航队
Heather,851,274,2.199764982373678,87.25616921269095,1872.0,851,2.203252032520325,32.2,帚石楠,帚石楠
Venus Magnetizer,614,209,2.198697068403909,89.40228013029316,1350.0,614,2.203525641025641,34.04,金星磁化器,金星磁化器
🌸紧急回收站🌸,378,135,2.195767195767196,82.75132275132275,830.0,378,2.2036082474226806,35.71,🌸紧急回收站🌸,紧急回收站
Sub-zero Salt Fish,548,186,2.198905109489051,91.11861313868613,1205.0,548,2.204301075268817,33.94,零下咸鱼,零下咸鱼
Hay Maker,761,252,2.202365308804205,82.77792378449409,1676.0,761,2.2062256809338523,33.11,炎拳,炎拳
Lunar Embassy,1004,361,2.204183266932271,89.7410358565737,2213.0,1004,2.2071005917159763,35.96,月球大使馆,月球大使馆
