card_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
Fall of Sunrise,2093,823,2.05303392259914,110.62064022933588,4297.0,2093,0.0,2.059349976448422,39.32,拂晓陨落,拂晓陨落
Border Checkpoint,1924,774,2.0524948024948024,119.29521829521829,3949.0,1924,0.0,2.059365404298874,40.23,边境检查站,边境检查站
Jovian Embassy,2359,920,2.05383637134379,119.3217465027554,4845.0,2359,0.0,2.0594390958560065,39.0,木星大使馆,木星大使馆
Terraforming Control Station,2335,921,2.054389721627409,111.26338329764454,4797.0,2335,0.0,2.060042283298097,39.44,改造控制站,改造控制站
Directed Impactors,451,172,2.0310421286031044,140.92239467849225,916.0,451,0.15077605321507762,2.0602910602910605,38.14,定向冲撞器,定向冲撞器
Business Network,2432,938,2.055098684210526,115.67146381578948,4998.0,2432,0.0,2.0605199025182777,38.57,商业网络,商业网络
Research Colony,2736,1074,2.0559210526315788,115.41337719298245,5625.0,2736,0.0,2.0607375271149673,39.25,研究殖民地,研究殖民地
Asteroid,2186,852,2.0558096980786824,110.93778591033852,4494.0,2186,0.0,2.061823104693141,38.98,小行星,小行星
Floater Prototypes,2056,818,2.0554474708171204,118.53501945525292,4226.0,2056,0.0,2.0618408437200384,39.79,造云原型机,造云原型机
Local Shading,2106,823,2.056030389363723,114.08831908831908,4330.0,2106,0.8689458689458689,2.0622659176029963,39.08,局部遮蔽,局部遮蔽
Immigrant City,2268,867,2.056878306878307,113.33201058201058,4665.0,2268,0.0,2.06266318537859,38.23,移民城市,移民城市
Mercurian Alloys,2604,1006,2.0587557603686637,114.19162826420892,5361.0,2604,0.0,2.06378132118451,38.63,水星合金,水星合金
AI Central,2425,985,2.0597938144329895,120.56865979381443,4995.0,2425,0.0,2.065173116089613,40.62,人工智能核心,人工智能核心
Callisto Penal Mines,1742,686,2.057979334098737,124.88461538461539,3585.0,1742,0.0,2.0654627539503387,39.38,木卫四开采法,木卫四开采法
Business Contacts,2830,1142,2.0611307420494698,111.8190812720848,5833.0,2830,0.0,2.0657342657342657,40.35,商业合同,商业合同
Jovian Defense Department,1878,734,2.059105431309904,121.22736954206603,3867.0,1878,5.642172523961661,2.0660377358490565,39.08,木星防空署,木星防空署
Vote Of No Confidence,348,145,2.028735632183908,101.51724137931035,706.0,348,0.0,2.066137566137566,41.67,不信任票,不信任票
Cutting Edge Technology,2853,1122,2.061689449702068,113.63406940063092,5882.0,2853,0.0,2.066250433576136,39.33,前沿科技,前沿科技
