user_id,generations,game_count,max_score,max_cards_played,avg_score,avg_cards_played,user_name
24c089f92bbe,7,9,77,26.0,63.0,19.89,老王
24c089f92bbe,8,25,124,60.0,81.0,26.92,老王
24c089f92bbe,9,20,112,54.0,88.65,35.65,老王
24c089f92bbe,10,5,122,48.0,96.4,34.0,老王
24c089f92bbe,11,1,92,30.0,92.0,30.0,老王
25aeedfe4791,3,1,41,9.0,41.0,9.0,囧囧打人
25aeedfe4791,4,1,52,16.0,52.0,16.0,囧囧打人
25aeedfe4791,5,10,96,53.0,76.7,28.1,囧囧打人
25aeedfe4791,6,9,118,65.0,94.33,36.89,囧囧打人
25aeedfe4791,7,1,34,27.0,34.0,27.0,囧囧打人
2ae4d2235399,7,1,62,34.0,62.0,34.0,疯法师
2ae4d2235399,9,1,86,33.0,86.0,33.0,疯法师
2ae4d2235399,11,1,119,62.0,119.0,62.0,疯法师
2beee8801c2a,8,1,93,41.0,93.0,41.0,打脸哥
2beee8801c2a,9,1,112,35.0,112.0,35.0,打脸哥
2d6fc80f3e8b,5,2,94,44.0,71.0,39.5,彩虹
2d6fc80f3e8b,6,1,26,,26.0,,彩虹
2d6fc80f3e8b,8,3,109,71.0,95.67,45.67,彩虹
2d6fc80f3e8b,9,1,110,59.0,110.0,59.0,彩虹
2d6fc80f3e8b,10,1,175,81.0,175.0,81.0,彩虹
2d8d33416cd1,4,1,61,19.0,61.0,19.0,铃铛
2d8d33416cd1,6,5,150,70.0,107.2,50.6,铃铛
2d8d33416cd1,7,2,136,57.0,88.0,42.0,铃铛
2d8d33416cd1,8,1,112,67.0,112.0,67.0,铃铛
2dd9eda81d36,3,1,52,13.0,52.0,13.0,雪櫻
2dd9eda81d36,4,22,70,27.0,53.64,15.36,雪櫻
2dd9eda81d36,5,52,96,47.0,66.98,23.92,雪櫻
2dd9eda81d36,6,35,111,65.0,79.63,31.23,雪櫻
2dd9eda81d36,7,6,118,69.0,97.17,48.33,雪櫻
2e4694f1a92d,5,1,63,20.0,63.0,20.0,奶牛
2e4694f1a92d,6,1,89,32.0,89.0,32.0,奶牛
2f05a8da42fe,4,12,75,29.0,57.58,21.42,吴用之人
2f05a8da42fe,5,39,104,53.0,72.05,33.33,吴用之人
2f05a8da42fe,6,44,170,99.0,86.57,37.98,吴用之人
2f05a8da42fe,7,5,180,93.0,121.2,56.6,吴用之人
2f48d358bdc1,7,3,62,34.0,60.33,31.67,dddzzz
2f48d358bdc1,8,1,57,32.0,57.0,32.0,dddzzz
2f48d358bdc1,9,3,110,52.0,93.67,45.0,dddzzz
2f7494e9d3a0,7,1,75,29.0,75.0,29.0,183454241
2f7494e9d3a0,8,1,71,29.0,71.0,29.0,183454241
