corporation,players,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_generations,weighted_avg_score,win_rate,cn_name,cn_name_plot
Hotsprings,2,6,2,1.6666666666666667,108.5,10.0,6,9.833333333333334,1.5625,33.33,Hotsprings,Hotsprings
Adhai High Orbit Constructions,2,13,5,1.6153846153846154,162.07692307692307,21.0,13,10.76923076923077,1.565217391304348,38.46,阿迪海高轨道建设,阿迪海高轨道建设
Astrodrill,2,13,5,1.6153846153846154,148.92307692307693,21.0,13,10.461538461538462,1.565217391304348,38.46,天体钻井,天体钻井
Ringcom,2,82,35,1.5731707317073171,156.70731707317074,129.0,82,9.524390243902438,1.565217391304348,42.68,Ringcom,Ringcom
StormCraft Incorporated (breakthrough),2,71,30,1.5774647887323943,133.69014084507043,112.0,71,9.887323943661972,1.5679012345679013,42.25,StormCraft Incorporated (breakthrough),StormCraft Incorporated (breakthrough)
Mons Insurance,2,11,4,1.6363636363636365,108.27272727272727,18.0,11,9.454545454545455,1.5714285714285714,36.36,蒙斯保险,蒙斯保险
Cheung Shing MARS,2,37,15,1.5945945945945945,144.9189189189189,59.0,37,10.756756756756756,1.574468085106383,40.54,Cheung Shing MARS,Cheung Shing MARS
Lakefront Resorts,2,30,12,1.6,112.56666666666666,48.0,30,9.433333333333334,1.575,40.0,湖畔度假区,湖畔度假区
Colonial One,2,16,6,1.625,175.9375,26.0,16,11.1875,1.5769230769230769,37.5,Colonial One,Colonial One
Saturn Systems,2,78,32,1.5897435897435896,143.39743589743588,124.0,78,10.41025641025641,1.5795454545454546,41.03,Saturn Systems,Saturn Systems
Martian Insurance Group,2,21,8,1.619047619047619,128.95238095238096,34.0,21,10.047619047619047,1.5806451612903225,38.1,火星保险集团,火星保险集团
Henkei Genetics,2,2,0,2.0,121.0,4.0,2,8.5,1.5833333333333333,0.0,变形遗传学,变形遗传学
Nanotech Industries,2,2,0,2.0,101.5,4.0,2,11.0,1.5833333333333333,0.0,纳米技术工业,纳米技术工业
Robin Haulings,2,26,10,1.6153846153846154,129.46153846153845,42.0,26,9.461538461538462,1.5833333333333333,38.46,罗宾运输,罗宾运输
🌸Green Ring🌸,2,68,27,1.6029411764705883,147.19117647058823,109.0,68,9.411764705882353,1.5897435897435896,39.71,🌸绿环🌸,绿环
Kuiper Cooperative,2,17,6,1.6470588235294117,102.82352941176471,28.0,17,9.470588235294118,1.5925925925925926,35.29,Kuiper Cooperative,Kuiper Cooperative
Crescent Research Association,2,15,5,1.6666666666666667,141.2,25.0,15,10.266666666666667,1.6,33.33,月牙研究联盟,月牙研究联盟
Palladin Shipping,2,20,7,1.65,101.4,33.0,20,9.05,1.6,35.0,Palladin Shipping,Palladin Shipping
Recyclon (breakthrough),2,30,11,1.6333333333333333,119.26666666666667,49.0,30,9.366666666666667,1.6,36.67,Recyclon (breakthrough),Recyclon (breakthrough)
Mining guild (breakthrough),2,53,20,1.6226415094339623,129.69811320754718,86.0,53,10.075471698113208,1.6031746031746033,37.74,Mining guild (breakthrough),Mining guild (breakthrough)
Thorgate (breakthrough),2,66,25,1.621212121212121,138.63636363636363,107.0,66,9.93939393939394,1.605263157894737,37.88,Thorgate (breakthrough),Thorgate (breakthrough)
The Archaic Foundation Institute,2,8,2,1.75,141.0,14.0,8,10.625,1.6111111111111112,25.0,原始基金会研究所,原始基金会研究所
Aristarchus,2,23,7,1.6956521739130435,125.21739130434783,39.0,23,9.26086956521739,1.6363636363636365,30.43,Aristarchus,Aristarchus
Odyssey,2,12,3,1.75,110.5,21.0,12,10.0,1.6363636363636365,25.0,奥德赛,奥德赛
PolderTECH Dutch,3,10,9,1.1,85.9,11.0,10,7.2,1.55,90.0,荷兰圩田科技,荷兰圩田科技
🌸Green Leaf Dance🌸,3,37,23,1.4594594594594594,95.27027027027027,54.0,37,7.054054054054054,1.574468085106383,62.16,🌸绿叶舞动🌸,绿叶舞动
Id Front,3,39,23,1.564102564102564,118.23076923076923,61.0,39,8.179487179487179,1.653061224489796,58.97,前线基地,前线基地
Aphrodite (breakthrough),3,90,44,1.6333333333333333,95.83333333333333,147.0,90,7.644444444444445,1.67,48.89,Aphrodite (breakthrough),Aphrodite (breakthrough)
United Nations Mission One,3,43,18,1.697674418604651,90.3953488372093,73.0,43,7.093023255813954,1.7547169811320755,41.86,United Nations Mission One,United Nations Mission One
UNMI (breakthrough),3,109,47,1.7339449541284404,95.19266055045871,189.0,109,7.972477064220183,1.7563025210084033,43.12,UNMI (breakthrough),UNMI (breakthrough)
Brotherhood of Mutants,3,15,8,1.6,150.53333333333333,24.0,15,7.933333333333334,1.76,53.33,变种人兄弟会,变种人兄弟会
Ambient,3,33,14,1.7272727272727273,99.27272727272727,57.0,33,7.393939393939394,1.7906976744186047,42.42,,
Aurorai,3,13,8,1.6923076923076923,76.76923076923077,22.0,13,5.076923076923077,1.826086956521739,61.54,Aurorai,Aurorai
🌸Shinra Tech🌸,3,71,29,1.8028169014084507,99.63380281690141,128.0,71,7.690140845070423,1.8271604938271604,40.85,🌸樱花电🌸,樱花电
Eglogue,3,19,8,1.736842105263158,83.36842105263158,33.0,19,6.2631578947368425,1.8275862068965518,42.11,Eglogue,Eglogue
🌸Buy N Large🌸,3,33,14,1.7878787878787878,96.6969696969697,59.0,33,6.96969696969697,1.8372093023255813,42.42,🌸大巨购🌸,大巨购
Ringcom,3,43,19,1.813953488372093,110.95348837209302,78.0,43,7.72093023255814,1.849056603773585,44.19,Ringcom,Ringcom
CrediCor,3,85,34,1.8352941176470587,93.45882352941176,156.0,85,7.823529411764706,1.8526315789473684,40.0,CrediCor,CrediCor
MorningStar Inc (breakthrough),3,140,61,1.8428571428571427,105.62857142857143,258.0,140,8.257142857142858,1.8533333333333333,43.57,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
Robinson Industries (breakthrough),3,45,20,1.8222222222222222,99.24444444444444,82.0,45,8.4,1.8545454545454545,44.44,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
🌸Energy Saving Ecology🌸,3,32,16,1.8125,89.0,58.0,32,7.03125,1.8571428571428572,50.0,🌸节能生态🌸,节能生态
Vitor,3,103,44,1.8446601941747574,110.67961165048544,190.0,103,8.398058252427184,1.8584070796460177,42.72,Vitor,Vitor
Imperial Star Destroyer,3,40,19,1.825,119.875,73.0,40,8.25,1.86,47.5,帝国歼星舰,帝国歼星舰
Chaos,3,41,19,1.829268292682927,98.04878048780488,75.0,41,7.7560975609756095,1.8627450980392157,46.34,Chaos,Chaos
Aristarchus,3,21,9,1.8095238095238095,111.04761904761905,38.0,21,8.476190476190476,1.8709677419354838,42.86,Aristarchus,Aristarchus
Viron (breakthrough),3,122,50,1.860655737704918,101.5,227.0,122,8.237704918032787,1.871212121212121,40.98,Viron (breakthrough),Viron (breakthrough)
Philares,3,47,19,1.851063829787234,94.48936170212765,87.0,47,7.787234042553192,1.8771929824561404,40.43,,
Celestic (breakthrough),3,138,51,1.8695652173913044,99.81884057971014,258.0,138,8.26086956521739,1.8783783783783783,36.96,Celestic (breakthrough),Celestic (breakthrough)
Nirgal Enterprises,3,23,9,1.826086956521739,85.8695652173913,42.0,23,7.782608695652174,1.878787878787879,39.13,Nirgal Enterprises,Nirgal Enterprises
Millennium Falcon,3,33,14,1.8484848484848484,115.63636363636364,61.0,33,8.333333333333334,1.8837209302325582,42.42,千年隼,千年隼
