rank,player_name,matched_user,match_type,occurrences
397,大熊猫,大熊猫,exact,15
398,御守千依,御守千依,exact,15
399,cyzwq567,cyzwq567,exact,15
400,帽子1,帽子1,exact,15
401,min,min,exact,15
402,归来,归来,exact,15
403,欧阳司机,欧阳司机,exact,15
404,点子,点子,exact,15
405,qzy,qzy,exact,15
406,deemo98,deemo98,exact,15
407,my9281,my9281,exact,15
408,左仙人江东,左仙人江东,exact,15
409,yuan,yuan,exact,14
410,sahur,sahur,exact,14
411,jzymz,jzymz,exact,14
412,卧山看水,卧山看水,exact,14
413,dinnerv5,dinnerv5,exact,14
414,muscari,muscari,exact,14
415,猫大叔,猫大叔,exact,14
416,群星,群星,exact,14
417,Re,re,case_insensitive,14
418,ptt,ptt,exact,14
419,no3c,no3c,exact,14
420,橘雪莉小爱,橘雪莉小爱,exact,14
421,北川,北川,exact,14
422,dai半仙,dai半仙,exact,14
423,zhangcheng,zhangcheng,exact,14
424,silainmaou,silainmaou,exact,14
425,duoyu111,duoyu111,exact,14
426,st izem,st izem,exact,14
427,四月,四月,exact,13
428,纯白knight,纯白knight,exact,13
429,peach15,peach15,exact,13
430,mmm672345,mmm672345,exact,13
431,saki,saki,exact,13
432,東風谷草田,東風谷草田,exact,13
433,得闲饮茶,得闲饮茶,exact,13
434,牢大,牢大,exact,13
435,琴酒,琴酒,exact,13
436,smdrr,smdrr,exact,13
437,宇宇子是也,宇宇子是也,exact,13
438,goldfish,goldfish,exact,13
439,peterhu58,peterhu58,exact,13
440,aptx4869,aptx4869,exact,13
441,zht,zht,exact,13
442,sinnsoku,sinnsoku,exact,13
443,iMissWonder,imisswonder,case_insensitive,13
444,无情的命运,无情的命运,exact,13
445,星海,星海,exact,13
446,LF,lf,case_insensitive,13
447,大知闲闲,大知闲闲,exact,13
448,极猫,极猫,exact,13
449,茹梦,茹梦,exact,13
450,W.D.Gaster,w.d.gaster,case_insensitive,13
451,absol96,absol96,exact,13
452,越前龙马,越前龙马,exact,13
453,卓某,卓某,exact,13
454,henferyl6,henferyl6,exact,13
455,艾斯瓜瓜,艾斯瓜瓜,exact,13
456,x202310300,x202310300,exact,13
457,fanhua,fanhua,exact,13
458,Ted,ted,case_insensitive,13
459,tl,tl,exact,13
460,rwer1343,rwer1343,exact,12
461,师兄,师兄,exact,12
462,牛逼轰轰的能量瓶小伙儿！,牛逼轰轰的能量瓶小伙儿！,exact,12
463,红领巾青蛙,红领巾青蛙,exact,12
464,yimingx,yimingx,exact,12
465,liukiuna,liukiuna,exact,12
466,麦卡伦,麦卡伦,exact,12
467,secretlegk,secretlegk,exact,12
468,wj,wj,exact,12
469,lipu,lipu,exact,12
470,chuangf,chuangf,exact,12
471,little moster,little moster,exact,12
472,半山,半山,exact,12
473,5-3,5-3,exact,12
474,狗汁,狗汁,exact,12
475,咩咩,咩咩,exact,12
476,roadtree,roadtree,exact,12
477,herbmaster,herbmaster,exact,12
478,改哥,改哥,exact,12
479,cola96,cola96,exact,12
480,ailin,ailin,exact,12
481,femme,femme,exact,12
482,大笨蛋铃铛～,大笨蛋铃铛～,exact,12
483,点点,点点,exact,12
484,gongqiang,gongqiang,exact,12
485,铃铛,铃铛,exact,12
486,cyx,cyx,exact,12
487,塞尔娅,塞尔娅,exact,12
488,噩梦之影,噩梦之影,exact,11
489,yz,yz,exact,11
490,savingnoob,savingnoob,exact,11
491,jiebao666,jiebao666,exact,11
492,xjh,xjh,exact,11
493,wee0815,wee0815,exact,11
494,zt,zt,exact,11
495,tongtong,tongtong,exact,11
496,兴王狂神,兴王狂神,exact,11
497,yog,yog,exact,11
498,tsmc no1,tsmc no1,exact,11
499,fdw,fdw,exact,11
500,Automuen,Automuen,exact,11
501,小士,小士,exact,11
502,薇薇,薇薇,exact,11
503,小拇指二号,小拇指二号,exact,11
504,meguminqwq,meguminqwq,exact,11
505,hypertai123,hypertai123,exact,11
506,hhv587666,hhv587666,exact,11
507,obama,obama,exact,11
508,tadechurencai,tadechurencai,exact,11
509,z2560068,z2560068,exact,11
510,darker,darker,exact,11
511,colin lin,colin lin,exact,11
512,匆匆,匆匆,exact,11
513,BakaLuLu,bakalulu,case_insensitive,11
514,zongzi,zongzi,exact,11
515,Isheach,isheach,case_insensitive,11
516,愚鱼于宇育渔域,愚鱼于宇育渔域,exact,11
517,hms,hms,exact,11
518,thewailing,thewailing,exact,11
519,惊鸿,惊鸿,exact,11
520,wanghaozhe,wanghaozhe,exact,11
521,dogelas,dogelas,exact,11
522,tonykouki,tonykouki,exact,10
523,lin_fen,lin_fen,exact,10
524,jiang01,jiang01,exact,10
525,花卷,花卷,exact,10
526,透明,透明,exact,10
527,irelend2332,irelend2332,exact,10
528,xx,xx,exact,10
529,归心,归心,exact,10
530,MONO,mono,case_insensitive,10
