card_name,games_2p,weighted_2p,games_4p,weighted_4p,cn_name,cn_name_plot
Beam From A Thorium Asteroid,377,1.393120393120393,379,2.3227383863080684,钍行星射线,钍行星射线
Airliners,377,1.393120393120393,627,2.284627092846271,航空公司,航空公司
Interstellar Colony Ship,471,1.3932135728542914,942,2.2973251028806585,星际殖民飞船,星际殖民飞船
Nitrite Reducing Bacteria,313,1.3935860058309038,612,2.339563862928349,亚硝酸盐还原菌,亚硝酸盐还原菌
Business Contacts,699,1.393689986282579,1732,2.364926220204313,商业合同,商业合同
Quantum Extractor,681,1.3938115330520393,1335,2.3413919413919415,量子提取,量子提取
Cyberia Systems,295,1.393846153846154,307,2.507418397626113,赛博利亚系统,赛博利亚系统
Research Coordination,592,1.3938906752411575,1303,2.4051012753188297,研究环境,研究环境
Local Heat Trapping,404,1.3940092165898617,1030,2.2141509433962265,本地的热量陷阱,本地的热量陷阱
Warp Drive,706,1.3940217391304348,1465,2.3070234113712376,曲率引擎,曲率引擎
Lightning Harvest,523,1.3942133815551536,1116,2.3891797556719023,捕获雷电,捕获雷电
Windmills,495,1.3942857142857144,1190,2.4057377049180326,风力发电,风力发电
Arctic Algae,307,1.3946587537091988,891,2.2942453854505973,北极的藻类植物,北极的藻类植物
Power Supply Consortium,388,1.394736842105263,594,2.371794871794872,电力供应共同体,电力供应共同体
Red Spot Observatory,684,1.3949579831932772,1669,2.27781047675103,红斑实验室,红斑实验室
Immigration Shuttles,456,1.3950617283950617,616,2.321981424148607,移民航天机,移民航天机
Power Grid,185,1.3953488372093024,161,2.4293193717277486,电网,电网
Solar Reflectors,152,1.3956043956043955,136,2.4397590361445785,太阳反射器,太阳反射器
EM Drive,109,1.39568345323741,543,2.4031413612565444,无工质推进飞船,无工质推进飞船
Cutting Edge Technology,670,1.3957142857142857,1784,2.3533627342888646,前沿科技,前沿科技
Ozone Generators,157,1.3957219251336899,149,2.3910614525139664,臭氧生成器,臭氧生成器
Deimos Down:ares,344,1.3957219251336899,1163,2.2020117351215425,Deimos Down:ares,Deimos Down:ares
Earth Catapult,723,1.3957503320053122,1621,2.2023016353725016,地球发射站,地球发射站
Martian Dust Processing Plant,263,1.3959044368600682,498,2.3693181818181817,粉尘加工厂,粉尘加工厂
Space Elevator,571,1.3960066555740434,997,2.4975657254138266,太空电梯,太空电梯
Forced Precipitation,288,1.3962264150943395,702,2.2704918032786887,强制降水,强制降水
Air-Scrapping Expedition,424,1.39647577092511,901,2.23952738990333,金星改造远征队,金星改造远征队
Floyd Continuum,603,1.39652448657188,1738,2.3506787330316743,弗洛伊德连续体,弗洛伊德连续体
Neptunian Power Consultants,222,1.3968253968253967,385,2.689156626506024,海王星能源顾问,海王星能源顾问
Asteroid Resources,310,1.3970588235294117,857,2.234498308906426,小行星资源,小行星资源
Economic Espionage,179,1.3971291866028708,308,2.4792899408284024,经济间谍活动,经济间谍活动
Food Factory,282,1.3974358974358974,369,2.4862155388471177,食品工厂,食品工厂
Hospitals,445,1.3978947368421053,1291,2.2626797880393643,医院,医院
Import of Advanced GHG,470,1.398,877,2.37045203969129,输入高级温室气体,输入高级温室气体
Impactor Swarm,377,1.398034398034398,755,2.2254777070063696,冲击虫群,冲击虫群
Giant Solar Shade,447,1.39832285115304,888,2.3224400871459694,巨型日光遮蔽器,巨型日光遮蔽器
Optimal Aerobraking,645,1.3985185185185185,1360,2.3453237410071943,最优的空气动力制动,最优的空气动力制动
Electric Sheep,429,1.3986928104575163,663,2.2756132756132756,电子羊,电子羊
Mining Rights:ares,454,1.3987603305785123,1413,2.3409563409563408,Mining Rights:ares,Mining Rights:ares
Directed Impactors,133,1.3987730061349692,226,2.40625,定向冲撞器,定向冲撞器
Supercapacitors,464,1.3987854251012146,929,2.4859228362878,超级电容,超级电容
Floater-Urbanism,316,1.3988439306358382,820,2.2141176470588237,施韦伯城市规划,施韦伯城市规划
Big Asteroid,494,1.3988549618320612,1280,2.2961832061068703,大型小行星,大型小行星
Release of Inert Gases,336,1.3989071038251366,523,2.3508137432188065,释放惰性气体,释放惰性气体
Venus Governor,654,1.3991228070175439,1506,2.2337239583333335,金星总督,金星总督
Mass Converter,696,1.399449035812672,1417,2.2176917760884587,质能转换器,质能转换器
